[2023-10-18 11:30:17.660] [pxr_streamer] [info] ***********  Log Begin **********
[2023-10-18 11:30:17.660] [pxr_streamer] [info] process id= 10420
[2023-10-18 11:30:17.660] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xdb9fe740
[2023-10-18 11:30:17.666] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = Hello, this = 0xdb9fe740
[2023-10-18 11:30:17.666] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = QueryRemoteTerminals, this = 0xdb9fe740
[2023-10-18 11:30:20.701] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xdb9fe740
[2023-10-18 11:30:23.728] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xdb9fe740
[2023-10-18 11:30:26.767] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xdb9fe740
[2023-10-18 11:30:29.810] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xdb9fe740
[2023-10-18 11:30:32.825] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xdb9fe740
[2023-10-18 11:30:35.843] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xdb9fe740
[2023-10-18 11:30:38.895] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xdb9fe740
[2023-10-18 11:30:41.922] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xdb9fe740
[2023-10-18 11:30:44.975] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xdb9fe740
[2023-10-18 11:30:48.004] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xdb9fe740
[2023-10-18 11:30:51.044] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xdb9fe740
