[2023-10-23 15:56:09.893] [pxr_streamer] [info] ***********  Log Begin **********
[2023-10-23 15:56:09.893] [pxr_streamer] [info] process id= 3424
[2023-10-23 15:56:09.893] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xb9122ce0
[2023-10-23 15:56:09.894] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = Hello, this = 0xb9122ce0
[2023-10-23 15:56:09.894] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = QueryRemoteTerminals, this = 0xb9122ce0
[2023-10-23 15:56:12.926] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xb9122ce0
[2023-10-23 15:56:15.975] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xb9122ce0
[2023-10-23 15:56:19.017] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xb9122ce0
[2023-10-23 15:56:22.053] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xb9122ce0
[2023-10-23 15:56:25.091] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xb9122ce0
[2023-10-23 15:56:28.136] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xb9122ce0
[2023-10-23 15:56:31.176] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xb9122ce0
[2023-10-23 15:56:34.214] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xb9122ce0
[2023-10-23 15:56:37.261] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xb9122ce0
